Rank,University_Name,State,Year,SS_Score,Predicted_SS_Score,NT_Total,NE_Total,NP_Total
1,Indian Institute of Technology,Chennai,2025,18.5,,6289,6453,1998
2,Indian Institute of Technology,New Delhi,2025,16.45,,8131,6897,3412
3,Indian Institute of Technology,Mumbai,2025,18.5,,7939,8826,3989
4,Indian Institute of Technology,Kanpur,2025,18.18,,6589,6432,2111
5,Indian Institute of Technology,Kharagpur,2025,18.23,,9523,9334,3409
6,Indian Institute of Technology,Roorkee,2025,17.75,,7260,6857,2824
7,Indian Institute of Technology,Hyderabad,2025,12.49,,2989,2818,876
8,Indian Institute of Technology,Guwahati,2025,17.86,,5684,5413,2320
9,National Institute of Technology,Tiruchirapalli,2025,17.5,,5172,5296,821
10,Indian Institute of Technology (Banaras Hindu University),Varanasi,2025,17.62,,7696,7195,1196
11,Birla Institute of Technology & Science,Pilani,2025,19,,11567,11607,852
12,Indian Institute of Technology,Indore,2025,12.55,,2092,1987,674
13,National Institute of Technology,Rourkela,2025,17.5,,5192,5332,940
14,S.R.M Institute of Science & Technology,Chennai,2025,17.82,,23494,21646,1494
15,Indian Institute of Technology (Indian School of Mines),Dhanbad,2025,15.87,,5771,5073,1372
16,Vellore Institute of Technology,Vellore,2025,20,,38973,44865,2912
17,National Institute of Technology Karnataka,Surathkal,2025,17.5,,4118,5501,887
18,Jadavpur University,Kolkata,2025,18.25,,5770,5663,1072
19,Indian Institute of Technology,Patna,2025,12.48,,2555,2407,742
20,Anna University,Chennai,2025,17.86,,12197,10458,1736
21,National Institute of Technology Calicut,Kozhikode,2025,16,,4540,4745,843
22,Siksha `O` Anusandhan,Bhubaneswar,2025,19,,9840,10085,769
23,Amrita Vishwa Vidyapeetham,Coimbatore,2025,18,,14534,14786,1110
24,Jamia Milia Islamia,New Delhi,2025,10.5,,1748,1750,367
25,Indian Institute of Technology,Gandhinagar,2025,11.5,,1450,1495,595
26,Indian Institute of Technology,Mandi,2025,12.45,,2053,1928,720
27,Indian Institute of Technology,Jodhpur,2025,12.5,,2536,2395,920
28,National Institute of Technology,Warangal,2025,16.16,,5228,5097,833
29,Thapar University,Patiala,2025,18,,10471,10484,495
30,Delhi Technological University,New Delhi,2025,19,,10901,10938,1309
31,Chandigarh University,Punjab,2025,17.88,,14247,14130,504
32,Indian Institute of Technology Ropar,Rupnagar,2025,11.7,,2201,1884,973
33,Kalasingham Academy of Research and Education,Krishnan Koil,2025,16.49,,6798,6792,517
34,Aligarh Muslim University,Aligarh,2025,11,,2134,2449,233
35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,2025,18.65,,13584,13271,941
