,Rank,University_Name,State,Year,SS_Score,Predicted_SS_Score,NT_Total,NE_Total,NP_Total
83,84,"Jain university,Bangalore",Bengaluru,2025,14.05,13.29091277135168,5457,4870,243
84,85,National Institute of Technology Kurukshetra,Kurukshatra,2025,15.19,14.656430968506037,5608,5064,422
85,86,"National Institute of Technology, Raipur",Raipur,2025,13.82,14.24527355448067,4874,4395,658
86,87,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,2025,15.5,15.844089487156587,9600,9678,586
87,88,AU College of Engineering (A),Visakhapatnam,2025,11.5,9.972887703776424,3148,3148,138
88,89,Chitkara University,Rajpura,2025,13.34,15.227317600932427,9985,8385,303
89,90,COEP Technological University,Pune,2025,14.0,12.62625171897854,3682,4040,288
90,91,SR University,Warangal,2025,16.5,14.299219815537002,5022,5049,455
91,92,Defence Institute of Advanced Technology,Pune,2025,3.78,6.378248864421122,944,437,166
92,93,Panjab University,Chandigarh,2025,11.22,10.22342802627507,3435,3015,153
93,94,Jawaharlal Nehru Technological University,Hyderabad,2025,15.5,15.11916859773713,7362,7362,317
94,95,"C.V. Raman Global University, Odisha",Bhubaneswar,2025,16.5,14.952158728460136,5124,5242,316
95,96,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,2025,8.02,8.11037057656838,1069,1001,105
96,97,National Institute of Technology Hamirpur,Hamirpur,2025,13.0,13.331956069160926,4487,4113,272
97,98,Pandit Deendayal Energy University,GandhiNagar,2025,15.5,14.819320537171363,5268,5417,216
98,99,National Institute of Technology Puducherry,Karaikal,2025,8.68,9.77747633317653,1130,1006,257
99,100,Sri Krishna College of Engineering and Technology,Coimbatore,2025,14.0,14.721466903067856,5523,5679,106
