Rank,University_Name,State,Year,SS_Score,Predicted_SS_Score,NT_Total,NE_Total,NP_Total
82,National Institute of Technology Agartala,Tripura,2024,12.59,,4493,3770,346
83,Sri Krishna College of Engineering and Technology,Tamil Nadu,2024,13.5,,5446,5101,173
84,Madan Mohan Malaviya University of Technology,Uttar Pradesh,2024,13.22,,3565,3235,258
85,Indraprastha Institute of Information Technolog,Delhi,2024,11.7,,2776,2542,316
86,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tamil Nadu,2024,15.13,,10289,9371,472
87,Indian Institute of Information Technology Allahabad,Uttar Pradesh,2024,10.54,,2232,2045,253
88,Jawaharlal Nehru Technological University,Telangana,2024,14.5,,7411,7029,465
89,Guru Gobind Singh Indraprastha University,Delhi,2024,11,,2199,2079,230
90,AU College of Engineering (A),Andhra Pradesh,2024,11.49,,3610,3361,103
91,"Vignan's Foundation for Science, Technology and Research",Andhra Pradesh,2024,14.65,,8389,6754,605
92,Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,2024,9.04,,1073,894,102
93,Christ University,Karnataka,2024,8.26,,3143,2381,138
94,Chitkara University,Punjab,2024,15.47,,8205,7741,323
95,"Jain University, Bangalore",Karnataka,2024,13.23,,6135,4738,233
96,"C.V. Raman Global University, Odisha",Odisha,2024,15.38,,5588,5091,255
97,National Institute of Technology Puducherry,Puducherry,2024,8.97,,1158,1003,185
98,SR University,Telangana,2024,13.97,,4448,4140,252
99,R.V. College of Engineering,Karnataka,2024,14,,5496,0,288
100,Siddaganga Institute of Technology,Karnataka,2024,12.42,,4424,0,171
